,Prompt,Greedy Search,Beam Search,K-Search,P-Search,Reference
26,"Here are the best bits we heard backstage at the Royal Albert Hall in London.
In La La Land, Emma Stone plays aspiring actress Mia Dolan.
So does the best actress winner think Mia could ever win a Bafta or Oscar?
After a dramatic pause, she delivered her verdict.
""Hopefully!""
""It's been like a whirlwind,"" said Spider-Man actor Tom Holland, winner of the Rising Star Award. ""I'm so happy everything seems to be working out.""
The 20-year-old Brit isn't wrong there. Having made his screen debut in tsunami disaster movie The Impossible, he first appeared as Spidey in Captain America: Civil War and recently finished filming for Spider-Man: Homecoming.
But Tom admitted the super hero role has its drawbacks.
""Ever since I was a kid I've wanted to be Spider-Man. It's been so fun, but my legs are in bits right now from spider poses after spider poses.
""So I'll be sitting down for the rest of the evening!""
It was perhaps inevitable that Meryl Streep's speech at the Golden Globes would come up at the Baftas.
Asked about Donald Trump's response, supporting actress winner Viola Davis didn't hold back.
""Anyone who labels Meryl Streep an 'overrated' actress obviously doesn't know anything about acting,"" she said.
""That's not just directed towards Donald Trump - that's directed towards anyone.""
She didn't stop there.
""This is someone who is the master at her skill and she has lasted for 40 years in a very difficult profession,"" Viola continued.
""One of the things people have to know about this woman is that she is the most honourable, accessible human being you could possibly want to meet.""
Best actor winner Casey Affleck said he'd grabbed a word with Meryl Streep after the Baftas ceremony.
""She was taking pictures of people... and I told her how much her speech at the Golden Globes meant to all of us and how grateful I was that she did it and kicked in the door a little bit,"" he said.
The Manchester by the Sea star said he hoped more actors would speak out.
""There is a big audience for these awards shows... and I have to say I'm very proud to be a part of the arts community.
""I don't always say some of the things I would like to say in those opportunities because there are people like Meryl Streep who say them much better than I can - and if they are going to be said it should be said very, very well because they are important.""
""I'm a little bit wobbly,"" confessed Dev Patel a few minutes after winning the supporting actor prize for Lion.
""I really did not expect it, we have gone to so many awards ceremony and this one is where everything changed, on home turf with my family.""
Dev recalled how he had made his acting debut a decade ago on E4's teen drama Skins.
""I remember the first time I ever stepped on a film set, I never knew what a boom mic was,"" he laughed.
""My mum took me to an open casting of Skins after she saw an advert in Metro newspaper and 10 years on we are here at the Baftas - that is pretty amazing.""
Justin Hurwitz, who won the Bafta for his original music in La La Land, said that he'd written a title song that didn't end up in the movie.
""It was going to be in the middle of the movie but we nixed that, and then we toyed with using it in the end credits, and we nixed that at the last minute.""
And how about this? Another Day of Sun, from the famous traffic jam scene, was cut ""for many months"" before being put back in as the big opening number.
Mel Brooks, who was awarded the prestigious Bafta Fellowship, was asked about whether he might write a comedy about Donald Trump.
""I'm not afraid of him, I don't think he's dangerous,"" said the 90-year-old writer, actor and producer.
""I think he's mostly an entertainer, a guy who wants audiences to love him.
""What I'm afraid of are all the guys around him, the people who whisper in his ears, like the people who whispered in George W Bush's ears and we got the Iraq War...
""I just hope that Trump stays the egomaniac he is, listens to no-one and then we'll all be safe. But if he believes these guys we're all in trouble.""
Mel was in a lighter mood as he plugged his new musical Young Frankenstein, which will open in London's West End this year after a run in Newcastle.
""I think, modestly speaking, it will be sensational,"" he chuckled.
Follow us on Facebook, on Twitter @BBCNewsEnts, or on Instagram at bbcnewsents. If you have a story suggestion email entertainment.news@bbc.co.uk.","["",,,,,,, a's""]",['....com...com or on Twitter.'],['and is the hottest show to share his talents. and Paul Bingham'],"['on the subject of movie Out of Wind., James Esquisch, Penny S']","The Bafta awards had laughter, passion and plenty of politics."
27,"Media playback is not supported on this device
Of his first 30 matches in 2017, the world number one has won 21 and lost nine.
Winning his last five tournaments of 2016 to pip Novak Djokovic to the year-end number one position in the final match of the season at London's O2 Arena was astonishing, dramatic and unforgettable.
And yet it appears that relentless run of success, and the 87 matches he played over a season, has come at a price.
Murray's straight-set defeat by world number 90 Jordan Thompson in the first round at Queen's Club was the sixth time he has lost to a player outside the top 20 this year. He has had shingles and an elbow problem, and now his left hip is proving cause for concern.
Opting out of two scheduled exhibition matches at the Hurlingham Club in London may not be too much of a blow, as Murray's aptitude for grass is likely to allow him some margin for error during the opening week at Wimbledon. But will he be in pain, and will his movement suffer?
Although it was reassuring to see him return to the practice courts on Friday, Murray was walking with a limp and neither moving, nor hitting his backhand, anywhere near as well as he will need to. Only time will tell.
Media playback is not supported on this device
Murray has looked especially vulnerable this season over three sets.
As well as the defeat by Thompson at Queen's, he has also lost in straight sets to Fabio Fognini in Rome (no disgrace), to Borna Coric in Madrid, and to world number 129 Vasek Pospisil at Indian Wells.
Though he was bamboozled by Mischa Zverev in the fourth round of the Australian Open, his Grand Slam record remains formidable. He is aiming this fortnight for a 10th consecutive Wimbledon quarter-final, and the last time he failed to reach the second week of a Slam was when he fell to Stan Wawrinka in the third round of the 2010 US Open.
So, assuming Murray's hip does not leave him underpowered, the French Open provides the best indication as to how he might fare at Wimbledon.
Murray often started slowly in matches at Roland Garros, but put in a dominant third-round performance against Juan Martin del Potro as he won in straight sets. He never looked a realistic champion, but ultimately was just a tie-break away from a second consecutive final. He then ran out of steam, a legacy of insufficient matches, in a Stan Wawrinka-dominated final set of their semi-final.
It would be foolish to try to come to a firm conclusion about Murray's chances at the All England Club this year. Twice a champion, and a gold-medal winner on Centre Court at the 2012 Olympics, not even Novak Djokovic has outperformed him at Wimbledon over the past five years.
Yet on 2017 results alone, Murray is only the seventh best player in the field.
He has too frequently struggled to impose himself on his opponent, and hindered at times by injury, has not been able to trust his serve in the same way.
This year he has won 72% of points on first serve, down from 76% last year; and while last year he saved 66% of the break points he faced, that number has fallen this year to 54%.
He claims his indifferent form is nothing to do with the pressure associated with his status as world number one, and he does not cut the figure of a man weighed down by an unwelcome burden.
But perhaps Murray has lost his cause: he is now the hunted, rather than the hunter.
That may not be a concern much longer.
Murray is virtually 5,000 points behind Rafael Nadal in the season-long race and is therefore very likely to be replaced at the top of the rankings by the autumn at the latest.
In fact, he could be overtaken after Wimbledon by Wawrinka or Djokovic if they win the title, but more probably by Nadal, who assuming both reach the second week would only have to go one round further.
Nadal's knees, Djokovic's blues and Wawrinka's unexceptional Wimbledon record muddy the waters still further.
And then there's Roger Federer: the seven-time champion, who is free of injuries, and last Sunday in Halle won his fourth title of the year having skipped the clay-court season.
Media playback is not supported on this device","[', and Murray has lost his last three matches at Wimbledon.']","['at Wimbledon, and he has lost to a player outside the top 20 this year.']","['and his right finger are still a serious problem.: for 17 seasons,']",['and has won 22 wins in its ever-their grand Slam run. has improved as'],"Of his last 30 matches in 2016, Andy Murray won 28 and lost just two."
28,"Mandla Hlatshwayo and his friend were shot after confronting a group of men who had robbed women of their mobile phones in a pub in Soweto.
The suspects were found in possession of drugs and an unlicensed gun.
South Africa has one of the highest murder rates in the world with more than 50,000 cases reported every year.
""Police are questioning the suspects to see if they can link them to the shooting,"" says the police's Lungelo Dlamini.
Tributes are still pouring in for the star who was also a DJ on local radio station Jozi FM.
Those who knew the 40-year-old have described him as a selfless man.",['Mandla Hlatshwayo and his friend were shot after confronting '],['Mandla Hlatshwayo and his friend were shot after confronting '],"[', 39, and a woman in South Africa, and his partner Mandla H']",['to be shot after confronting a group of men who had robbed women of their'],South African police say four people have been arrested in connection with the murder of former actor on popular local TV series Generations.
29,"Witnesses told officers they heard a gun being fired near Anfield Road Primary School at about 09:00 GMT.
Pupils and staff there and at the nearby All Saints Catholic Primary School have been ordered to stay indoors while police investigate.
Ch Supt Mark Harrison said it ""beggars belief"" it would happen at a school.
Members of the public told police the shot was fired at a dark coloured car by a white man in a grey hooded top who was on foot.
A Merseyside Police spokeswoman said local hospitals had been checked and ""no-one has sought medical attention for injuries caused by a firearm"".
She said officers were making house-to-house inquiries and studying CCTV footage of the area.
Ch Supt Harrison said the attack ""appears to be targeted"" and was particularly worrying as ""a child could have been seriously injured or worse"".
He said police wanted to hear from those inside the car ""so we know they are safe"".
Anfield Road Primary School's headteacher Clair Drew-Williams said her pupils were ""safe and unaware of the incident"".
""The site was not evacuated, the school day is continuing as normal and a trip for some pupils took place as planned,"" she said.",['Police have ordered pupils to stay indoors while police investigate.'],['a gun was fired at a school in Merseyside.'],"[""A Gun was fired in the headquarter of Melia St Mary's Primary School.""]","['at an isolated school on A 45th Street, the village of Anfield Road, is planning']","A shot was reportedly fired at a car outside a primary school in Liverpool as parents were taking their children inside, police have said."
30,"The Olympic champion, 29, was third overall at the end of a promising first day - traditionally her strongest - with a score of 3,928 points.
On Sunday she leapt a respectable 6.16m in the long jump but threw a disappointing 42.60m in the javelin.
With the 800m remaining, she has 5,544 points, still on course for the 6,200 needed to qualify for the Rio Olympics.
Ennis-Hill is competing in her first heptathlon since winning gold at London 2012.
A top-12 finish and score of 6,075 points would also secure qualification for this summer's World Championships.
Canada's Commonwealth champion and world silver medallist Brianne Theisen-Eaton leads ahead of the final event, remarkably achieving three personal bests on her way to a 5,834 score.
Follow latest updates and reports on the second day of the Gotzis Hypo-Meeting on the BBC Sport website on Sunday, 31 May.","[',,,,,,, Olympic champion Ennis']","['Olympic champion Ennis-Hill, 29, was third overall at the end of a']",['will take her home in Brisbane on Saturday.'],['Olympic sprinter Annis-Hill did the final match for the Classic Olympics at Surrey'],Jessica Ennis-Hill has fallen from fourth to eighth place after six events at the Hypo-Meeting in Gotzis.
31,"Manor's operating company Just Racing Services has been in administration since 6 January, and FRP Advisory has been unable to find a buyer.
Just Racing ceased trading on Friday, effectively ending the Manor team.
The staff were sent home on Friday and told they will be made redundant by the close of business on Tuesday after the payment of January salaries.
FRP said there was ""no sustainable operational or financial structure in place to maintain the group as a going concern"".
Joint administrator Geoff Rowley added the administration process ""provided a moratorium"" in the search for a buyer but ""no solution could be achieved to allow for the business to continue in its current form"".
It is not necessarily the end of Manor - a buyer could potentially still purchase the remnants of the team.
But even if that were to happen, the move makes it much harder for Manor to make it to the start of the season in Australia on 26 March.
The team's collapse leaves 10 teams - 20 cars - on the grid in Melbourne and comes just five days after the sport was taken over by US company Liberty Media and long-time commercial boss Bernie Ecclestone was removed as chief executive.
Media playback is not supported on this device
Manor started life as Virgin Racing in 2010 and has been through several guises in the intervening seven years.
It previously went into administration in October 2014, and was only saved by current owner Stephen Fitzpatrick, the boss of energy firm Ovo, on the eve of the 2015 season.
Fitzpatrick has said the decisive moment was the team's slip to 11th place in the constructors' championship as a result of Sauber's Felipe Nasr finishing ninth in the penultimate race of last season in Brazil. This cost the team in the region of $15m (£12m) in prize money.
Manor were one of three new teams to enter F1 in 2010 after they were promised by then FIA president Max Mosley that a £40m budget cap would be introduced.
But Mosley stood down as head of the governing body in 2009 after losing a fight with the teams over the plan and the cost limit was abandoned.
All three teams have now collapsed.
This content will not work on your device, please check Javascript and cookies are enabled or update your browser
Anneliese Dodds MEP has called for a European Commission investigation into the FIA and F1 following Manor's collapse.
She said: ""The collapse of Manor Racing could be the end of seven turbulent years for a team that brought highly skilled jobs to Oxfordshire. I am very concerned that this follows other job losses in small teams.
""Formula One Group, its owners and the FIA as a regulator really need to be investigated after this collapse.
""The unfair way in which prize money is allocated in the sport, permanently favouring the largest teams regardless of their finishing position, has seen many teams struggle to survive and ultimately reduced the number of cars on the grid.
""The European Commission must investigate the complaints it received last year from two F1 teams related to anti-competitive practices before even more highly skilled jobs are lost both in the South East and all around Europe.
""I will be writing to the Commission to call on them to take serious action on the way F1 is run, before a sport loved by 500 million fans is damaged beyond repair.""","[""has been re-opened after Manor Racing's FIA collapsed.""]","[""has been unable to find a buyer after Manor Racing's collapse.""]","[""is in charge after the AF1 team's first two teams were lost in 2008 and""]","['last week said that anyone who has bought Manor Racing, who is still selling and working for']",The Manor team have collapsed after administrators failed to find a buyer for the stricken business.
32,"Only 90 will be returned to Stormont - compared to 108 from previous assembly polls.
Out of the 228 candidates, 70 are women. The election will take place on 2 March.
Once again the DUP is fielding the most candidates with 38, followed by Sinn FÃ©in on 34.
The Ulster Unionist Party has 24 candidates, while the SDLP and Alliance have 21 each.
The Green Party is fielding 18 candidates, the TUV, 14, the Conservatives 13 and People Before Profit seven.
The Workers Party has five candidates in the race, the cross-community Labour Alternative four, the PUP and the Citizens Independent Social Thought Alliance three each and the UKIP one.
There are also 22 independent candidates in the field.
West Tyrone, East Londonderry and East Antrim have the largest number of candidates standing, with 15 going on the ballot paper in each.
The constituency with the fewest - nine - is Newry and Armagh.","[', with a total of 108 candidates in the race. The Labour Party is fielding']","[',,, West Tyrone, East Londonderry and East Antrim have the']",['with two candidates - and North East West Tyrone. is only nine in the'],['. We have 14 candidates and 40 Independents of Westminster School.'],A total of 228 candidates will contest the Northern Ireland Assembly election next month - 48 fewer than last time.
33,"We received that question from Drew who is planning a trip to New York in December. He asked: ""Should I get my cash now or should I wait? Will there be much change between now and then?""
Anthony Reuben, from BBC Reality Check, had this answer: ""The BBC does not give financial advice, but here are a few things to bear in mind...
""The exchange rate between the pound and the dollar reflects the views of investors about the relative strengths of the two economies.
""Since the Brexit vote in June the pound has fallen about 18% against the dollar on the judgment that growth is likely to be stronger in the US than the UK and that UK interest rates are falling while the next movement in US rates is expected to be upwards.
""But it's always possible that something could happen to change that view - there is a presidential election in the US in November, for example. The outcome of that could make a considerable difference to the exchange rate.
""You do not necessarily have to put all your eggs in one basket - there is also the option to hedge your bets and buy half of your dollars now and half of them just before you go, as long as you are not going to be hit by extra charges for carrying out two transactions.
""It is always worth shopping around when buying currency - avoid buying your currency at the last minute at the airport. There are plenty of comparison sites online that will help you get the most dollars possible for your pounds, even if it is fewer than you would have got a few months ago.""
We asked readers to send in questions about the recent fall of the pound and rise of the FTSE 100.
Anthony chose Drew's question: ""I'm planning on going to New York in December, should I get my cash now or wait? Will there be much change between now and then?""
Take a look at some of the other questions you've wanted us to answer:
Why does the NHS spend on homeopathy?
Could the UK take over existing EU trade deals?
Does fracking affect the water supply?
If you are reading this page on the BBC News app, you will need to visit the mobile version of the BBC website to submit your question.","['the pound has fallen by 18% against the dollar. ""It\'s always worth']","['the pound and the FTSE 100. ""I\'m planning on going to New']","['What will happen?"" A UK reporter has asked a question about the recent US pound plunge']","[""“Everyone can benefit from your mortgage.” This is the first time you've meld""]","With the value of the pound falling dramatically since Brexit, a ""flash crash"" last week when the currency lost 6% of its value against the dollar, and news on Tuesday that the pound had fallen again, when would be a good time to change those pounds to dollars?"
34,"More than 300 people entered Alternative Model of the Year with the winner being decided by judges in Newcastle on Saturday.
Vintage-fan Zoe Waters, 19, from Bishop Auckland, is a student at Newcastle University.
Ms Waters said she was shocked to be declared the winner. ""I've always dressed a bit crazy,"" she said.
""I don't know why I wanted to be different, I guess I just always choose to wear what I like and look how I want to look rather than worrying about what's in fashion.""
She said she now plans to pursue a career in modelling.
""I'm only 5ft 3in tall and I never wanted to look normal so I never thought I could actually be a model, I hadn't realised how big the alternative modelling world is.""
Organiser Kieran Martin said: ""There is a lot of prejudice and hatred for people from sub-cultures so we wanted to create something that would celebrate the different lives we have, we are proud of what we are achieving.""
The final was held at Northumbria University in Newcastle.","[',, and, ands have been crowned Alternative Model of the']",['has been declared the winner of Alternative Model of the Year.'],['. can be achieved by creating an alternative model of the event in Newcastle. (A'],"['got a fourth round of the Alternative Model of the Year, but had to invest in modelling']",A philosophy student who wears vintage clothing has won a national contest for alternative models.
35,"The Yomper statue is currently located in front of the Royal Marines Museum at Eastney.
The National Museum of the Royal Navy has started consulting over a proposed move to Portsmouth Historic Dockyard.
Campaigners insist it is a local memorial to the conflict and ""belongs"" at Eastney.
The Yomper statue was created by Philip Jackson, depicting a royal marine marching across the islands during the 1982 conflict and was unveiled by former prime minister, Lady Thatcher, in 1992.
The National Museum of the Royal Navy (NMRN) is planning to relocate the Royal Marines Museum from Eastney to Portsmouth Historic Dockyard as part of a Â£13m lottery funded project and wants to take the statue with it.
An online petition against moving the statue has attracted more than 1,800 signatories, saying it was ""now considered as our local Falklands War Memorial"".
Sheila Mackie who set it up said: ""The imposing scale of The Yomper needs space and adequate distance to be fully appreciated, and the visualization of the part in the major campaign that the statue represents couldn't be achieved in an interior space.""
Conservative-led Portsmouth City Council also voted to express a ""clear preference"" that the statue remain where it it is.
Its motion stated: ""The Yomper statue has graced the seafront for many years, serving as a reminder of both the Falklands War and of the Marines' historical association with Eastney.""
NMRN director Jon Rawlinson said the new museum site would potentially have 750,000 visitors a year, compared to 40,000 at the current museum.
""He would be seen by far more people at the historic dockyard, but of course he was built for here [Eastney] and is part of here. ""
He said no decision had been made and it would consider all comments submitted to its public consultation.","[',,, and, is a memorial to the Falklands War']",['The Yomper statue is currently located in front of the Royal Marines Museum at Eastney'],[': The Yomper statue is currently located in front of the Portsmouth Historical Dockyard.'],['and its importance at the beach recently reached a big conclusion.'],Plans to move a statue depicting a Royal Marine in the Falklands conflict away from Portsmouth seafront have been criticised.
36,"It is believed to be the first alleged breach of the Terrorism Prevention and Investigation Measures (TPim).
The suspect appeared at the Old Bailey accused of failing to contact a monitoring company and report to a police station twice in January.
The Home Office has refused to comment on the case.
TPims replaced control orders in January 2012.
The suspect - who can only be referred to as BM - was one of nine British citizens subject to a TPim when the figures were last disclosed in March.
The BBC is not aware of anyone else who has appeared in court charged with a breach of a TPim.
The Home Office said: ""We do not comment on individual cases.  The police investigate all breaches of TPims and will prosecute where that is viable.""
Those subject to a TPim can be ordered to stay overnight at a specified address and report to a police station every day.
Other measures include a ban on contacting particular individuals, going to certain areas and places and travelling abroad.
Labour has argued that TPims have ""weakened"" public protection against terrorism.
In March, the independent reviewer of terror laws, David Anderson, said TPims could prove less effective than control orders because they can be imposed for a maximum period of two years only.
The court heard that BM is charged with two counts of breaching Section 23 of a TPim order.
The allegations are that on 16 January he failed to contact a monitoring company, and on 27 January failed to report to a police station.
BM, who has a grey beard and was dressed for the hearing in a white shirt, cannot be named nor have his address published for legal reasons.
The prosecutor Louise Gray asked for a provisional date of 2 July to be set for a plea and case management hearing.
The defendant was granted unconditional bail although he remains subject to the restrictions imposed by his TPim.
A trial date was not set.",['- BM - has been charged with two counts of breaching a TP'],['- BM - has been charged with two counts of breaching a TP'],['at the former British government. Police will prosecute those suspected in a breach of a'],['They have claimed that BM and his neighbours have falsely disclosed that they have breache'],A suspected terrorist has been charged with breaching conditions imposed as part of the government's new terror monitoring powers.
37,"The 33-year-old takes over the role from Charlotte Burton, whom he assisted last season alongside his coaching commitments at Brighton College.
Seamer Anyon took 199 wickets in 63 first-class appearances for Sussex between 2010 and 2014 and retired last year because of a knee injury.
He will also coach the women's under-19 and under-21 sides.
""This is a great opportunity to continue working with Sussex,"" he said.
""The women's game is fast-growing and I am looking forward to bringing my own experiences from professional cricket and using them to help the girls.""
Alexia Walker, Sussex's most-capped women's player and coach of the under-17 side, will take on roles with the senior, under-21 and under-19 sides.","["",, will take over as Sussex's coach.'s captain Seamer Any""]","[""will coach the women's under-21 and under-21 sides.""]",['is the first team in the field to be skipped by Brighton College.'],"[""of Sussex's title-seeded Double Brit Team England world rugby coach Simon Seamer""]",Sussex have appointed former player James Anyon as head coach of their women's side.
38,"The 23-year-old younger brother of Sunderland's Wes Brown, had been on trial with the Shakers.
Brown has also had spells at Bradford, Doncaster, Oldham, Coventry, Ipswich, Watford and Carlisle, making over 50 appearances in the Football League.
He is available for Bury's League One season opener as they travel to Doncaster on Saturday.
Find all the latest football transfers on our dedicated page.","["",,,, and Bury's League One season opener against Don""]","[""'s Wes Brown, 23, has been on trial with the Shakers.""]",['Cup. will be available to play at Burnley on Saturday and Saturday.'],['Butteres of Day Egate have signed Another Voltes for the Shakers on Friday'],League One side Bury have signed former Barnsley defender Reece Brown on a six-month contract.
39,"But the latest Cinderella is bucking the trend - and seemingly appealing to audiences as a result.
Directed by Sir Kenneth Branagh, Cinderella is a live-action version of Disney's classic 1950 animation that has taken $70m (Â£43.1m) on its opening weekend in the United States.
Yet this adaptation is completely faithful to the traditional story - including wicked stepmother, fairy godmother, glass slipper, handsome prince and happy ending.
British actress Lily James, best known as Lady Rose from ITV's Downton Abbey, stars as Cinderella. Cate Blanchett plays the stepmother and Helena Bonham Carter is the fairy godmother.
""Keeping it classic is the twist,"" says Branagh, who started his directing career in 1989 with his adaptation of Shakespeare's Henry V.
""I always felt that it's better to do a modern version of a story using the historical perspective, than say, make a story of Cinderella in Brooklyn in 2015.
""I find that when you try and update Shakespeare to a contemporary setting too, you always pay a price.
""In this case, the original material of Cinderella is far richer than my ideas, so it seems to me that it's my job to make it simple. Just let the fairytale speak, because it affects us in a more complicated way than we think.
""Audiences have already come up to me saying the film is about patchwork families, about child bereavement, about the politics between women these days. Fairytales are a psychological brain-worm that need to be left alone to do their work.""
Helena Bonham Carter says that at first she was dubious ""as to whether a straight version would work"".
""I think it's a really good film, but it could so easily have been bad. I was saying: 'So you're really going to do a completely straight version of Cinderella? No gimmicks, no extra frills, no 3D?'
""It's very classic, but they know me, and they allowed me not to be that straight in my own role.""
Just as audiences seem to have taken to the film, critics such as the Guardian's Guy Lodge comment that ""while it might have been nice to see the new-model Cinderella follow Frozen's progressive, quasi-feminist lead, the film's naff, preserved-in-amber romanticism is its very charm"".
But James disagrees that this Cinderella is an old-fashioned heroine, pointing out that at the start of Disney's 1950 classic, Cinderella ""is staring out of the window dreaming of the prince and waiting for him to rescue her"".
""This Cinderella doesn't do that at all. I think we make it very clear that everything she does is her choice - even deciding to stay on at her parents' house with such wicked treatment from her stepmother.
""She is told by her dying mother to 'have courage and be kind' and this is the film's, and Cinderella's, backbone.""
This is the first major leading role for Surrey-born James. ""Not even a big TV series like Downton could prepare me for this fuss,"" she says.
""I am getting slightly carried away. I keep seeing giant posters of me all over the place in a big blue dress and people shouting my name.
""I'm trying to enjoy the magic actually - this is the fairytale aspect of it for me, personally. It's quite something that so many little girls are going to think I'm Cinderella.""
James has dismissed speculation that her waist had been digitally altered to make it smaller as ""irrelevant"", claiming that fans were interested in Cinderella because of her ""morals"".
Cate Blanchett agrees that the core of the film is ""kindness"", adding that it is ""an unusual quality these days. There's not a cynical bone in this film's body and that's its strength.
""There is cruelty and jealousy in the movie too, but too often we don't value kindness. In today's world you think someone who is kind is a doormat, and the fact this triumphs is really heart-warming.""
Branagh, who previously directed Marvel's Thor, describes kindness ""as its own super-power. It is a dark world and children do need to understand they need courage and resilience to get through it.
""People often compare the story of Shakespeare's King Lear in relation to Cinderella. There is a resemblance there - a father making a tragic error and three daughters; great cruelty and great kindness.
""This film is all about the difficult but simple choice to be good and kind. Whether you're dealing with Shakespeare or the great fairy stories, they are all great big metaphors for human nature.
""And regardless of what happens to this film version, I believe this is why the tale of Cinderella will keep enduring.""
Cinderella is out in the UK on 27 March.","[', and it\'s a very good film. ""It\'s about the fairy']","['. ""It\'s a really good film, but it\'s not a']","['and more than one thing does--make up the same. ""That\'s a']","['and for all it feels is the emergence of a nude, constructive Disney movie']","In recent years, Hollywood remakes and re-imaginings of classic fairytales have come thick and fast - all darker, more adult versions of tales that originally appeared in cinemas."
40,"But one nation, Russia, was missing.
For the first time in Eurovision history, the host nation barred another country's singer.
That is because in 2015, in violation of Ukrainian border rules, Russia's Julia Samoilova performed in Crimea, the Ukrainian peninsula annexed by Russia a year earlier.
Samoilova suffers from a neural muscular disorder and has used a wheelchair since childhood.
""When the rumours began I might not go, I was so sad,"" she told the BBC in Moscow. ""I thought, how come? This was my dream. When the final decision was taken I didn't believe it. But unfortunately, this is the reality.""
""I think it's a stupid reaction,"" Russian MP Vitaly Milonov tells me. ""They're even afraid of such a small girl to enter Kiev.""
Even before Ukraine's ban, Mr Milonov had called for a Russian boycott of Eurovision: ""Eurovision became a disgusting socialist nightmare for all these left-wing parties with all their bearded women, or men, with these anti-Christian positions.
""I am sure that most conservatives in the world will never attend this festival. Because this is a festival of Sodom and Gomorrah.""
It is supposed to be a festival of peace and friendship but there is not much sign of either in relations between Kiev and Moscow.
In eastern Ukraine, 10,000 people have been killed in three years of war: a war in which Russia is directly involved through its military support for separatist rebels. Crimea remains a source of tension and Eurovision is the latest battleground.
""Since 2014, we've had a law in Ukraine that punishes people who illegally cross our border when they visit Crimea,"" says Ukrainian MP Olha Chervakova.
""Did Russia know this? Of course. Did Russia know that Julia Samoilova would fall foul of this law? Of course. In other words, entering her in the contest was a conscious provocation to create a huge political scandal.""
The ban created a huge headache for Eurovision organisers, the European Broadcasting Union (EBU).
Eurovision's Executive Supervisor Jon Ola Sand said in March that Ukraine's decision went ""against both the spirit of the contest and the notion of inclusivity that lies at the heart of its values"".
In an unprecedented move, the EBU offered Russia the chance to take part by satellite from Moscow.
Russia declined: after the dramas of last year's Eurovision, Moscow was in no mood to compromise.
Ukraine's 2016 winning entry, 1944, sung by Jamala, was about Joseph Stalin's deportation of Crimea's Tatar population.
Russia had argued that Jamala's song broke contest rules for being of a political nature. When it won, Moscow cried foul and said there was politics at play. Now Russia seems determined to make not only Ukraine look bad, but the entire Eurovision Song Contest.
When strangers are coming, they come to your house, they kill you and say 'we're not guilty'
Recently, two Russian pranksters - posing as Ukraine's prime minister and his assistant - released online a telephone conversation they had recorded with a woman they claimed was EBU Director General Ingrid Deltenre.
If this is the voice of the EBU's top official, it is hugely embarrassing for the EBU, because the woman on the recording makes an astonishing admission about Ukraine's winning song: ""I was just too late made aware of the song.
""If I would have been earlier, and I think it was on purpose, I would have not allowed the song to participate, to be very transparent.""
In a statement, the EBU said it would ""not comment on prank calls"".
But these are high-profile Russian pranksters, who once fooled Elton John into thinking he was talking to Russian President Vladimir Putin.
""Now our people don't trust Eurovision any more,"" one of the pranksters, Alexei, told me. ""People understand that any country can use their political goals to win, so it's not a fair contest anymore.""
Perhaps this is not just about a song contest? Or Russia's relations with Ukraine?
Equating Eurovision with Sodom and Gomorrah and embarrassing the EBU appear part of a wider pattern of Russia trying to undermine Western institutions and Western liberal ideas.
""Russia now defines itself in its social and societal model against the West,"" believes Jan Techau of the Richard Holbrooke Forum at the American Academy in Berlin. ""The Kremlin explicitly portrays Russian society as a counter model to the corrupted West. They seem now to buy completely into the idea that whatever harms the West is good for Russia: a classic zero-sum game.""
In the run-up to this year's contest, singer Jamala warned that ""we should expect more provocations [from Russia] because our victory hurt them a lot.""
Security in Kiev is tight ahead of the first semi-final.
As for Julia Samoilova, instead of singing at Eurovision this week, she will be performing - once again - in Crimea. Another political message from Moscow, to Kiev and to Europe.","[',,,,,,,,,,']","['is a ""stupid reaction"" to Ukraine\'s decision to ban Eurovision']","['on a Chinese prank as a Communist Party and ""Fever with Europe""']","["", Trump, the organizer of the European Year's Eurovision Song Contest, has ""]","Performers from 42 countries strode down a long red carpet near Ukraine's parliament this week, as a curtain-raiser to this year's Eurovision Song Contest."
